Başlık,Şikayet
Hepsiburada İade Ekibi Yüzünden Maddi Zarara Uğradık,"Hepsiburada'da 1 yıldır satış yapıyoruz ve hala sürdürmekteyiz. Ancak bu şirketin iade operasyon birimi ya görmüyor ya da okuduğunu anlamıyor. Yaklaşık 6 aydır JBL marka kulaklık satışı yapıyoruz ve 50'ye yakın sipariş gönderdik. Siparişlerden önce listeleme yaparken 100 adetlik orijinal olduğuna dair faturayı yükledik ve onayladılar. Siparişler gönderildikten sonra yaklaşık 11 tanesi geri geldi. Bu iadelerin 6 tanesi, gönderdiğimiz kişilerin el izleri, onlara ait kalıntılar, bilerek kutu içerisine atılan cisimlerle geri geldi. Ayrıca kutu içerisinden şarj kablosu, kulaklık pedleri alındı ve kutusu yırtık, ezilmiş şekilde ya da kutusu olmadan gelenler oldu. Sisteme nasıl geldiyse o şekilde yükledik, ne fazla ne eksik, gerekli belge ve resimlerle. Ancak gözü iade onay butonundan başka hiçbir şey görmeyen iade ekibi, ne yazılan yazılara ne de görsellere baktı ve yalan, sallama açıklamalarla 'sahte ürün', 'yanlış paketleme', 'kusurlu ürün' gibi baştan savma kelimeler yazıp onayladılar. Defalarca bildirim açmama ve analiz istememe rağmen umursamadılar. Üstelik bazen kafalarına göre ürünü de kapatıyorlar. 500 TL satış tutarı olan ürüne 150 TL indirim uygulayıp, ilk fiyat üzerinden kesinti yapıp, indirim yaptıkları fiyat üzerinden ödeme yapıyorlar. Bundan dolayı şikayetimi önce burası aracılığı ile şirkete iletiyorum, çözüm bulunamazsa doğrudan savcılığa dilekçe ile başvuracağım. Bu sorumsuz ekip yüzünden 20 bin TL'ye yakın ürünümüz yandı ve üstüne iade ürünlerin faturalarını da iptal edemedik. Derhal cevap ve çözüm bekliyorum."
Kupon Son Kullanım Saatinin Belirtilmemesi Ve Müşteri Temsilcisi İlgisizliği Nedeniyle Mağduriyet,"07.06.2025 tarihinde satın almış olduğum tabletin fiyat değişimi sebebiyle müşteri hizmetleri tarafından benim talebim doğrultusunda 450 TL kupon hesabıma tanımlandı. Tanımlayan arkadaş 14 gün sonra aktif olacağını belirtti. Ardından 14 gün sonra kupon aktif oldu fakat işlerimden dolayı ve karar veremediğinden dolayı son kullanım tarihi olan 11.07.2025 tarihinde yani son kullanım gününde kuponu kullanmak istedim. Fakat sistemde hiçbir yerde hiçbir SMS de ve hiçbir çağrı merkezi temsilcisi belirtmemesine rağmen kuponun saat 13.30'a kadar geçerli olduğunu bu sebepten dolayı kuponu kullanamayacağımı söylediler. Fakat görsellerdeki gibi hiçbir yerde kesinlikle bu bilgiyi paylaşılmadı. 11.07.2025 denildiğinde 23:59'a kadar süremin olması gerekiyor. Müşteri temsilcilerinden S***** hanım ile görüştüğümde bana neden son güne kadar bıraktınız, neden almadınız, gibi özel hayatımı ilgilendiren saçma sapan sorular soruldu. Ben yine de sebebini açıkladım, ayrıca talebimde her şeyi detaylı anlatmama rağmen ve görseller paylaşmama rağmen bakma gereksinimi bile duyulmamış. Sözde Premium üyesiyim ve her ay düzenli para ödüyorum. Farklılıkların olması gerekirken üzerine mağdur oluyorum. Hepsiburada ile alışveriş yaparken bundan sonra iki defa düşüneceğim. Mecbur kalmadıkça bir şey almayacağım. Beklemiyorum üyeliğimi bu tarih itibariyle sonlandırıyorum. Sorunumu gösteren görseller ektedir."
Teslimat Gecikmesi Ve İptal Sorunu Yaşıyorum,"Hepsiburada'dan siparişim dağıtıma çıkmıştı bir aksilik sonucu teslimat tarihini ertelemek zorunda kaldım. Normalde pazartesi teslim edilmesi gerekiyordu ancak hâlâ teslim edilmedi, dağıtıma çıktı olarak gözüküyor. Siparişi iptal de edemiyorum. Ancak teslim edildikten sonra iade edebilirmişim. En kısa zamanda teslim edilmesini ya da iptal edilmesini talep ediyorum."
Eskiyi Yenile Kampanyasında Eksik Ödeme Ve Yanıltıcı Bilgilendirme Mağduriyeti,"Hepsiburada sitesinden 06.07.2025 günü Eskiyi Yenile kampanyası ile telefon satın aldım. Kendi kullanmakta olduğum, yaklaşık 1 yıl garantisi devam eden Samsung S23 256 GB telefonumu değerlediğimde, telefonuma ön değerlendirme teklifi 23.030 TL, yeni aldığım iPhone 16 Pro 128 GB telefonun ek ödemesi olan 3.500 TL ile toplam 26.530 TL teklif verildi. Ben de bunu kabul edip telefonu satın aldım. Telefon elime geçince kendi cihazımı gönderdim. Bana inceleme sonucu 21.500 TL teklif geldi. Bu teklifi, telefonuma verilen teklif olduğunu düşündüm ve ek ödeme hariç olarak değerlendirdim. Müşteri hizmetleri bana ek ödemenin ayrı olduğunu bildirdi. Ben de kabul ettim. Ancak burada yapılan tamamen bir oyun; ek ödeme dahil teklif olarak tarafıma firmadan 18.000 TL, ek olarak Hepsiburada'dan 3.500 TL olarak kartıma iade oldu. Telefonumun fiyatını almak için baştan yüksek teklif verilip, belirttiğimin dışında hiçbir sorunu olmayan cihazı kelime oyunlarıyla ucuza satın aldılar. Bulunan sorun tarafıma iletilmiyor. Müşteri hizmetleri personeli beni yanlış yönlendirdiği için 5.030 TL zarara uğratıldım. Daha önce bu yöntemle iki defa daha cihaz satın almıştım, ancak böyle bir olay başıma gelmedi. Kurumsal ve güvenilir bildiğimiz Hepsiburada firmasına böyle numaralarla insanları mağdur etmek yakışmadı. Zararımın tarafıma iletilmesini istiyorum. Aksi halde Tüketici Heyeti ve mahkemeye başvuracağım."
Teslim Edilmeyen Siparişe İlgisiz Ve Bilgilendirmesiz Yaklaşım,"*Teslim Edilmeyen Sipariş,"
Haberim Olmadan Premium Üyelikten Para Çekildi,"Merhabalar, ben Hepsiburada'dan alışveriş yapmıştım ve otomatik olarak Premium üyelik başlatılmış. Hesabımdan aylarca, girmediğim halde para çekilmiş. Şubat ayından beri para çekiliyor ve farkına varmamışım. Ürün iptali olunca üyeliğin de iptal olacağını düşündüm. Bu nedenle alınan paraların iadesini istiyorum."
İptal Edilen Saatin Ücret İadesi Geciktiriliyor,"Hepsiburada üzerinden satın almış olduğum saati, aradan 5 dakika geçmeden iptal ettiğim halde, kartıma geri iadesini yapmak için beni bekletiyorlar. Kartımda başka limit olmadığını açıkladığım halde, bana 'kartınıza iade yapıldı, bankanıza göre değişir' dendi. Halbuki banka ile görüştüğümde, iptal talebinin kendilerine ulaşmadığını öğrendim. Tekrar müşteri temsilcisine bağlandığımda, iadenin 24 saat içinde yapılacağını, prosedür gereği bu beklemenin olduğunu ve verdikleri bilginin yanıltıcı olduğunu öğrendim. Para iademin derhal yapılmasını talep ediyorum. İptal istediğimde kimsenin paramı elinde tutma hakkı kalmaz."
Hepsiburada Premium Üyelikte Haksız Ücret Ve Sipariş İptaliyle Yaşanan Mağduriyet,"Hepsiburada Premium Üyeliği ve Sipariş Sürecinde Yaşanan Çift mağduriyet
Nisan ayında Hepsiburada üzerinden Premium kart başvurusu yaptım. Kampanya kapsamında bir yıl ücretsiz olduğu belirtilmişti. Ancak yalnızca bir ay ücretsiz kullanım sonrası, hiçbir bilgilendirme yapılmadan üyeliğim ücretli hale getirildi ve şu anda üçüncü ücretli aya girdim.
Bu durumla ilgili talep oluşturmama ve kart başvurusunu bizzat Hepsiburada üzerinden yaptığımı belirtmeme rağmen, talebim reddedildi ve herhangi bir düzeltme yapılmadı.
Üstelik yalnızca bununla da kalmadı. Yaklaşık 4-5 gün önce Hepsiburada satıcısından ürün siparişi verdim.
Ürün teslim edilmediği için dün kayıt oluşturdum. Tarafıma “Kargonuz gecikmiş, gönderilecek” denildi.
Bugün ise farklı bir bilgi verilerek “Kargonuz hasar görmüş, siparişiniz iptal edilmiştir” denildi.
Bunun üzerine Hepsiburada müşteri hizmetleriyle görüştüm ve kesinlikle para iadesi değil, ürünün yeniden gönderilmesini istediğimi defalarca belirttim.
Ancak buna rağmen ürün gönderilmedi, para iadesi yapıldı. Üstelik ürünü indirimli almıştım, şu anda indirim kodum da yok ve ürün yeniden almak istediğimde çok daha yüksek fiyata geliyor.
Ürün stokta olmasına rağmen gönderimi yapılmadı.
Sonuç olarak:
Premium üyeliğimle ilgili haksız ve izinsiz ücretlendirme yapıldı, çözüm sunulmadı.
Siparişim gecikti, iptal edildi ve isteğim dışında iade yapıldı.
İki ayrı konuda açıkça mağdur edildim ve müşteri hizmetleri süreci çözmek yerine geçiştirdi.
Talebim ve yapmanız gereken,
Premium üyeliğimin, vaat edildiği gibi bir yıl ücretsiz olarak düzeltilmesini,
Ayrıca iptal edilen ürünümün, o anki indirimli fiyattan yeniden tarafıma gönderilmesini talep ediyorum.
> 6502 sayılı Tüketicinin Korunması hakkında Kanun açıkça tüketiciyi koruma altına alır. Hem haksız ücret tahsilatı hem de teslim edilmeyen ürün yerine para iadesi zorlaması, Tüketici Hakları'na açık bir ihlaldir.
Tarafıma yaşatılan bu tekrar eden mağduriyet; tüketici memnuniyeti ilkesine, dürüst ticaret anlayışına ve yasal mevzuata aykırıdır.
Bu nedenle, bu şikayet yalnızca Şikayetvar platformuyla sınırlı kalmayacak, gerekirse Tüketici Hakem Heyeti, Ticaret Bakanlığı Tüketici Şikayet Sistemi (alo 175) ve CİMER aracılığıyla da resmi olarak iletilecektir."
Stokta Olmayan Ürünün Satışı Ve İzinsiz Sipariş İptali Nedeniyle Mağduriyet,4144639151* numaralı sipariş numaralı ürünü tedarik edemediği için elinde stoğu olmayan ürünü satıp. Hizmeti benim iznim olmadan kayıt oluşturularak iptal edildi. Premium üyesi olmama rağmen 2 haftadır yaşadığım mağduriyetten kaynaklı kimseye hepsiburada.com önermiyorum. İnsanlara kampanya yaptık diye ürün satışı yapıyorlar. Stokları yok. Yazıklar olsun.
Hepsiburada'da 9 Taksit Seçeneği Sunulmasına Rağmen Tek Çekim Mağduriyeti,Hepsiburada Apple alışverişinde Premium'a peşin fiyatına 9 taksit imkanı sunuyordu ve 9 taksit seçeneğini seçerek sipariş oluşturdum fakat tek çekim oldu. Apple Akbank'la sonlandırdıkları bilgisini verdi fakat ürünü alıp açtığımız için iade de edemiyoruz
"Yanlış Teslimat Adresi Nedeniyle Siparişim İade Edildi, Kupon Ve Destek Sağlanmadı",Hepsiburada'dan aldığım Ürün Teslimat adresi doğru olmadığı için Hepsijet tarafından anında iade kargosuna verilip geri gönderildi. Bu durumu müşteri temsilcisi ile konuştuğum zaman. Fiyat farkını kupon oluşturarak bana vereceklerini söylediler ancak premiumlu olmama rağmen Şu an bekletiliyorum ve bir şey yapılmıyor. Tekrar aradım bugün. Ama iade iptal işlemini ben yapmışım o şekilde söyledi. Müşteri temsilcisi. Ve Kupon oluşturulmadı bir termos alacaktım illallah ettirdiniz
Hijyen Ürünü Gerekçesiyle Traş Makinası İadesi Reddedildi,"Hepsiburada üzerinden Philips marka kişisel tıraş makinesi aldım. Ürünü denedim, kesiminin uygun olmaması sebebiyle iade etmek zorunda kaldım. Söz konusu firma, hijyen ürünü olduğunu belirterek iade almayacaklarını beyan etti. Bu konuda mağdur edildiğimi bildirmek isterim. (Yakamozexpres firması Philips Vücut Bakım 3000 Serisi)"
Fiyat Farkı İadesi Sözü Tutulmadı Güvenim Sarsıldı,Hepsiburada'ya güvenimi tamamen yitirdim. Ucuzunu bulursan fiyat farkını iade edeceğini garanti etmesine ve bulmama rağmen bahane üreterek sözünü yerine getirmedi. Kampanyayla 45600 TL'ye aldığım ürünü görseldeki fiyata denk getirmeme rağmen fiyat farkını alamadım...
"Satın Aldığım Ürün Hatalı Fiyat Gerekçesiyle İptal Edildi, Mağdur Edildim","04.06.2025 tarihinde Hepsiburada internet sitesi üzerinden Samsung Galaxy S24+256 GB 12 GB RAM (Samsung Turkiye Garantili) Gri-Gri/256 GB cep telefonu kulaklık hediyeli 23.599,00 TL bedelle satın aldım ve sipariş numaram 4731978938 dir. Satın alma işlemi başarılı şekilde gerçekleşmiş, ödemesi alınmış ve tarafıma sipariş onayı gönderilmiştir."
Hepsiburada'dan Aldığım İphone 13 Bir Türlü Kargolanmadı!,"9 Temmuz'da Hepsiburada'dan iPhone 13 telefon ve şarj aleti aldım. Şarj aleti hemen ertesi gün kargolanarak yola çıktı, fakat telefon hâlâ 'hazırlanacak' olarak görünüyor. Yorumlara güvenerek aldım; yorumlarda ertesi gün kargoya verildiği gibi bilgiler yazıyordu. Ben anlamadım. Hepsiburada'nın bana özel mi bir sorunu var, yoksa diğer insanlar mı yanlış bilgi veriyor, bilemedim. Gerçekten bu olay çok canımı sıktı. Böyle bir kurumsal şirketin müşterisini bu kadar mağdur etmesi gerçekten üzücü. Hepsiburada'nın bir an önce durumumla ilgilenerek sorunumu çözmesini istiyorum. Telefona gerçekten çok acil ihtiyacım var, bekliyorum."
Yanlış Ürün Gönderimi Ve İletişim Sorunu Yaşadım,"Hepsiburada'dan verdiğim siparişte, gönderilen ürün ile sipariş ettiğim ürün farklıydı ve faturası da farklı bir ürüne kesilmişti. Bu durumu bildirmek için kayıt açtık ancak muhatap bulamadık. Parasını verip aldığımız ürünle mağdur olduk. Hepsiburada'dan alışveriş yaptığım için pişmanlık yaşadım."
Hepsiburada'da İptal Edilen Ürünün Ücreti Hâlâ İade Edilmedi,"Hepsiburada üzerinden bir ürünü cuma akşamı iptal ettim, hâlâ ücreti iade edilmedi. Müşteri hizmetlerini aradığımda, çeşitli bahaneler sunuyorlar; araya hafta sonu girdiği için gecikme olduğunu söylüyorlar. Ayrıca, 'Banka kartıyla alışveriş yapmışsınız, kredi kartı olsaydı anında iade olurdu.' şeklinde cevaplar veriyorlar. Oysa zaten kredi kartıyla alışveriş yapmıştım. Rastgele ve çözümü olmayan, mantıksız cevaplar alıyorum. Dün tekrar görüştüm, kayıt açmalarını ve konunun incelenmesini istedim. Ancak gerek olmadığını, hafta sonu tekrar araya girdiği için bu şekilde olduğunu söylediler. Hâlâ bir gelişme yok, ben paramın iadesini bekliyorum."
"Kargo Kayıp, İade Ve İptal Sürecinde Mağduriyet Yaşıyorum","Hepsiburada'dan 05/07/25 tarihinde, Mavi Reyon satıcısından, 1503TL'ye aldığım kedi kuru maması ve vitamini, aktarma merkezinde kaldı. Bana da gelmiyor, satıcıya da dönmüyor. İptale uygun ürün değilmiş. Kargo kayıp, satıcı da ürün elimize gelmeden iade/iptal yapmayız diyor. Paketin başına gelen Herhangi bir şey veya kaybolması benim sorumluluğumda değil. Yüzlerce kez Hepsiburada ve Hepsijet'i aradım. 3 iş günü bahaneleri var, kaç iş günü oldu saymadım. Hepsiburada müşteri hizmetlerinden, Hepsijet üzerinden iptal edin dediler, ettim. Ama geri dönecek bir kargo yok, 10 gün oldu."
Teslimat Ve Kurulumda Yaşanan Sorunlar İle Hasarlı Ürün Teslimi Sonrası Mağduriyet,Hepsiburada üzerinden “Uğur ued 7238 dtk nf dgt D/S R65 No Frost e Sınıfı 7 Çekmeceli Derin Dondurucu” adlı ürünü sipariş ettim. Ürün yorumlarında teslimatı gerçekleştiren görevlilerin ürünü kurulacağı yere kadar taşıdığı açıkça ifade edilmekteydi.
Eksik Gönderilen Ürün İçin Çözüm Bulamıyorum Müşteri Hizmetleri Yetersiz Kalıyor,07.07.2025 tarihinde Hepsiburada'dan yapmış olduğum 423 843 086 numaralı siparişimde 2 adet istediğim ürün 1 adet gönderildi. Eksik ürün talebi oluşturdum fakat sonuçlanmadı. Temsilcilerle defalarca görüştüm hepsi aynı şeyi söylüyor. Aciliyet belirttik not ekledik vs vs ama bir çözüm yok. Ben zaman kaybediyorum. Ürün iadesi yaparsam da yine tek ürün bedeli iade edilecekmiş. Her türlü ben mağdur oluyorum. Müşterinin değil de satıcının beyanı mı esas anlamıyorum. Defalarca alışveriş yaptım 3 kuruşluk ürün için gerçek dışı beyan verecek değilim herhalde. Satıcının ihmalinin bedelini ben ödüyorum.
Sıfır Bulaşık Makinesinde Arıza Ve İade Sürecinde Mağduriyet Yaşadım,"30 Haziran 2025 tarihinde Hepsiburada Alışveriş Sitesi üzerinden 4212 model numaralı bir bulaşık makinası satın aldım ve 2 Temmuz tarihinde Balıkesir/Burhaniye Vestel servisi tarafından kurulumu yapıldı. Makine ile hemen bütün bardak ve cam mutfak eşyalarını yıkadım. Bütün cam eşyalarım beyaz lekeli ve puslu çıktı. Burhaniye servisine haber vererek arıza kaydı oluşturdum. Servis gelip inceleme yaptığında gelen teknisyen şikayetimi haklı gördü ve parlatıcı gözünün arızalı olduğunu sözlü ifade ederek parça değişimi gerektiğini söyledi. Sıfır makinede parça değişimini kabul etmediğimi söyledim, değişim ya da iade istedim. Bana sözlü olarak tamam biz servis bilgi fişinde bunu belirteceğiz diyerek gittiler. İki gün sonra tekrar gelip makinenin parlatıcı ve toz ayarlarını yaptılar. Bardakların fotoğrafını çektiler ve sorunun devam ettiğimi belirterek gittiler. Ben Hepsiburada üzerinden 08 Temmuz tarihinde iade talebini oluşturdum ve müşteri temsilcisine sorunu anlatarak iade talebimi söyledim. Hepsiburada temsilcisi iade için kurye yönlendirmesi yaptı. İade günü geldiğinde servis raporu gerekli diyerek Hepsiburada temsilcisi iadeyi durdurdu. Burhaniye Vestel servisini aradığımda herhangi bir rapor tutulmadığını öğrendim ve sürekli bugün yarın denilerek oyalandım. Burhaniye Vestel servisi 3 defa makinayı kontrol etmesine ve arızalı olduğunu kabul etmesine rağmen, daha sonra işi başından atmak için herhangi bir arıza oluşmadığına dair servis bilgi fişi hazırladı ancak bunu benimle paylaşmadı. En son 14 Temmuz tarihine randevu vermesine rağmen servis işlemi için gelmedi. Tüm süreçleri Vestel Müşteri Temsilcisine anlattım. Ancak bir çözüm oluşmadı. Bu sürede iade süresi doldu ve makine elimde kaldı. Vestel markası ve Hepsiburada tarafımdan mağdur edildim."
Çalınan Telefonumla İlgili Mağduriyetim Giderilmiyor!,"Telefon aldık. Hepsiburada'dan güvenerek telefon aldık, fakat çalındı ve şu an telefon şikayet edeceğiz. Bulunması için çalıntı ihbarı yaptık ama hiçbir şey yapamıyoruz, mağdur olduk. Demek ki bu hayatta hiçbir telefon ve alışveriş sitesine güvenmemek lazım. Şu an elimiz kolumuz kilitlendi, paramızla rezil olduk. Şu an e-Devlet ve diğer kanallardan şikayet ettiğim halde hiçbir şey yapamıyorum. Böyle bir telefonu neden satışa sundunuz? Hepsiburada'ya da mı güvenmemek lazım, çok mağdur oldum. Gerçekten insanı hayattan soğutuyorlar. Böyle olmazsa, telefonun ne olduğunu öğrenmek iyi oldu. Şu an tekrar bakın, nasıl böyle bir durum olur? Telefon parasının iadesini istiyorum. Çalındıktan sonra da Hepsiburada ilgilenip bulsun, kayıt vs. olmayınca bulamıyoruz."
Hepsiburada İndirimli Ürünlerim Günlerdir Teslim Edilmedi Para İadesi De Yapılmadı,Hepsiburada'dan aldığım süpermarket temizlik ürünleri bir hafta 10 gündür kargoda görünüyor. Hala teslimatı gerçekleşmedi. İndirimli ürünler olduğunda böyle problemler çok sık gerçekleşiyor. Para iadesi de yapılmadı. Müşteri hizmetleri de çözüm bulamadı. Hâlâ bekliyorum.
Hasarlı Ürün İadesinde Sürekli Sorun Yaşıyorum,"Hepsiburada Premium üyesiyim. Üç hesaptan toplam sekiz tane banyo dolabı aldık. Dolaplardan biri hasarlı geldi. Kargocuya bunu kabul etmeyeceğimizi söyledik. Hepsiburada da hasarlı kargoyu almamamız gerektiğini belirtiyor. Ancak kargocu, ürünlerin takım olduğunu ve dörtlü şekilde götürmesi gerektiğini söyleyerek bizden üç ürünü daha alıp götürdü ve işlemleri başlattı. Bizde dört ürün kaldı, fakat Hepsiburada sadece üç ürünün iadesini yaptı. Hasarlı olan ürünün iadesi yapılmadı. Konuyla ilgili müşteri hizmetlerinden birçok kişiyle görüştüm, talep açılıyor fakat sonuçlanmıyor ve sürekli en başa dönüyoruz. Bu konu çözülmezse yasal yollara başvuracağım. Daha önceki alışverişlerimde de benzer sorunlar yaşadım, uğraşmadım ama artık yeter."
"Yeni Alınan Döner Ocağı Garanti Dışı Bırakıldı, Yüksek Tamir Ücreti Talep Edildi",Biz Bodrum'da otel işletmeciliği yapıyoruz. Geçen sene Haziran (2024/Haziran) ayında Hepsiburada üzerinden Emiray İnternet Hizmetleri Satış Pazarlama ve Ticaret E*** B******* satıcısından Remta marka döner ocağı aldık.
Vergi İndirimi Başvurusunda Fatura Numarası Hatasıyla Karşılaşıyorum,Hepsiburada'dan Xiaomi tablet aldım ve gsbbiz üzerinden vergi indiriminden yararlanmak istedim. Verilen bilgileri doldurduğumda fatura numarası için hatalı veya geçersiz olduğu uyarısı veriliyor. Fatura geçerlilik süresi dolmadan bu sorunun düzeltilmesini istiyorum.
Hepsiburada'dan Alınan Tefal Ütü Lekeli Ve Arızalı Çıktı,Piyasadan uyguna ve güvenilir bir satıcı olduğu için Hepsiburada üzerinden aldığım ütü geldiğinde üzerinde lekeler ve toz bulunuyordu. Uyguna aldığım için kullanımında bir sorun olmazsa bunu gözardı edecektim fakat ütü akıtıyor ve buhar gücü çok cansız. Şehir dışında olduğum için ertesi gün göndermedim kutusunda bekledi (resimlerin çekildiği tarih ve saatte görüldüğü gibi teslim aldığım gün lekeler mevcut) iade gönderdim umarım kabul ederler. Tefal gibi bir markayı Hepsiburada gibi güvenilir satıcıdan alamayacaksak hangi platformdan alabiliriz bilmiyorum. Gerekli hassasiyeti göstermenizi rica ederim
"Kullanılmış Ve Bozuk Ürün, İade Sürecinde Mağduriyet Ve Kupon Kaybı Yaşadım","10 Temmuz 2025 de 484 544 666 3 sipariş no su ile Hepsiburada uygulamasından 1 adet bebeklerimizin odası için masaüstü vantilatör satın aldık. Bu vantilatör 11.07.2025 de bize teslim edildi. Kutuyu aldığımızda ne içinde ne dışında bir koruyucu önlem, paketleme olmadığını gördük. Sonra paketi açtık cihazı çalıştırmak istedik ancak cihaz kutunun için de ayrı parçalar halinde olması gerekirken bütün cihaz toplanmıştı. Büyük ihtimal daha önce kullanılmış bir cihazdı. Sonra cihazı prize taktığımızda cihazın çalışmadığını gördük. Acaba biz mi yanlış yapıyoruz. Dedik internete falan baktık ama sorun cihazdaymış. Bozuk cihazı göndermişler bize. Sonra bunu iade ettik. Bu cihaz bize 1 günde geldi ama iade için satıcıya ulaştırılması 4 gün sürdü. Zaten satıcıya da soru sorduk ona da cevap vermediler. Peşinden 11 Temmuz 2025 de 459 463 840 8 sipariş numaralı aynı üründen farklı bir satıcıdan sipariş verdik. Bu üründe 13.07.2025 de teslim edilmesi gerekirken teslim edilmedi. Her baktığımda kargoya verildi olarak görünüyordu. 14.07.2025 de kargo hareketlerine bakmak istediğimde "" üzgünüz gecikme için geciken ürünler 2 iş gününde teslim ediliyor "" yazıyordu. Bende sinirlendim ve iptal ettim. Sonrada bir daha sipariş vermedim. Ancak bu 2 sipariş de de 25+25 TL hediye kazandığım kuponlar vardı onları bir sonraki sipariş de kullanamadım. Çünkü iade olunca 25 TL lik kuponlar otomatik silindi. Sanki her şey benim suçummuş gibi. Hepsiburada da aylık Premium üyeliğim vardı bu tür sorunlar olunca ilgileniyorlardı ama yıllık Premium üyeliğe geçince ilgilenmemeye başladılar. Yıllık Premium üyelik pişmanlıktır. Haberiniz olsun. Ticaret bakanlığı dahil her türlü hakkımı arayacağım. 484 544 666 3 numaralı siparişin bedeli de halen iade olmadı kimin keyfini bekliyoruz anlamadım. Resmen paramız bloke ediliyor."
İade Sürecinde Yaşanan Sorunlar Ve Müşteri Hizmetleri İlgisizliği,"Hepsiburada'da iade için kod oluşturdum, iadem alınmadı. Müşteri hizmetleri halledeceğiz diyor, bekletiyor. WhatsApp ve canlı müşteri hizmetlerine de bağlandım, yine sonuç alamadım. Neden bekletildiğimi anlamıyorum, şikayetçiyim. Aldığım ürünler iyi fakat fiyat yüksek geldi ve uzaktan sitede görüldüğü gibi olmuyor. Daha ucuz olanına bakacağım, pişman oldum. Sipariş verdiğime bir daha sipariş vermeyi düşünmüyorum. İade sürecinde sorun yaşanıyor."
Hepsiburada'dan Aldığım Çocuk Saati 35 Gündür Teslim Edilmedi,"Hepsiburada üzerinden aldığım Wiky akıllı çocuk saati arızalandı. Hepsiburada üzerinden kayıt açtırıp servise gönderdim ama 35 gün geçmesine rağmen saat hâlâ ortada yok. Hepsiburada müşteri hizmetlerini defalarca aramama rağmen onların da saatle ilgili bir bilgisi yok, yani saat ortada yok. Hepsiburada'nın hiçbir şeyden haberi yok, mağdur edildim ve Hepsiburada'nın umurunda değil. Hepsiburada pişmanlıktır. Umursamazlar, sadece satış yapmaya bakıyorlar, gerisi umurlarında değil."
Hepsiburada Cosmate Şikayeti,Cosmate isimli siteden Hepsiburada aracılığıyla saç kremi aldım 1 hafta oluyor ilk geldiğinde dikkat etmemiştim ama bugün fark ettim ki son kullanma tarihi yeni bir etiketle değiştirilmiş son kullanma tarihinden 3 sene geçmiş son kullanma tarihi 08.08.2022. Gerekli her yere şikayet edeceğim faturası sipariş bilgileri hepsi mevcut.
Kupon Tanımlaması Öncesi Ürün Fiyatının Artırılması,Hepsiburada üzerinden yaşadığım sorunla alakalı müşteri hizmetleri tarafından arandım. Hesabıma bir ürün eklememi sonrada onlara bilgi vermem istendi. Ürünü ekleyip bilgi verdim. 1 gün sonra ürünün fiyatı arttı ve 1 saat geçmeden beni arayıp kuponu tanımladıklarını söylediler. Ürünün fiyatı da ortalama kupon kadar arttı ve kuponu tek o ürüne verdiler. Meğer fiyatını artırmak için sepetimdeki ürünü görmek istemiş.
Erken Yapılan Taksit Ödemesi Sistemde Görünmüyor Ve Gecikme Faizi Endişesi,Hepsiburada hepsi finanstan şikayetçiyim. Taksitlerimin ödemesini erkenden yaptım ama temmuz ayı hala ödenmemiş gözüküyor. Telefonla da arayıp sordum bir sorun gözükmüyor dendi ama ben bu geciken ödeme yazısının kaldırılmasını istiyorum. Geciken ödemenin üzerine faiz bindiğinden şüpheleniyorum.
İade Edilen Ürün İçin Haksız Ceza Ve Komisyon Kesintisi Mağduriyeti,"Sayın Yetkili,"
"Montaj İçin Servis Sağlanmıyor, Mağduriyet Yaşıyorum","Merhaba, Hepsiburada üzerinden almış olduğum TCL Elite Plus TAC-12CHSD / XA73I model klima için TCL müşteri hizmetlerinden randevu kaydı oluşturdum. Fakat yerel firma benimle iletişime geçmedi. Müşteri hizmetleriniz yerel firmanın bilgilerini kesinlikle paylaşmıyor. Montaja kimin geleceğini, ürünün sağlam mı bozuk mu olduğunu bilmiyorum. Peşin ödeme yaptık ama TCL ürünü kullanmamı sağlayamıyor. Başka bir servisten yardım alsam bu kez garanti dışı kalacak. Mağduriyetimi giderin, yoksa birkaç gün içinde servis gelmezse ürünü iade edeceğim."
"Klimam Teslim Edilmiyor, İletişim Kurulamıyor Mağduriyet Yaşıyorum",Ürünümde gecikme yaşıyorum. Hepsiburada'dan klimamı sipariş verdim ama ürünün tahmini teslimatını sürekli erteliyorlar. İletişim numarasına ulaşılamıyor. Sürekli meşgul. Bu şekilde hizmet olmaz Mağduriyet yaşıyorum. Kargo sürekli aynı yerde görünüyor. Be biz Dr. Bu sıcakta klimasız çalışıyoruz
Bozuk Ürün Ve Yetersiz İletişim Nedeniyle Mağduriyet,"Hepsiburada'dan Simoote makinası aldım. Ürün bozuk gönderilmiş, hiçbir şekilde çalışmıyor. Aynı gün iade kaydı oluşturup ertesi gün kargoya teslim ettim. Yaklaşık bir haftadır hiçbir bilgilendirme yok. Kargoda ilerleme yok, müşteri hizmetlerine bağlanmak imkânsız, hâlâ bir çözüm gösterilmedi. Açıklama ve çözüm bekliyorum. Mağduriyetimin giderilmesini rica ediyorum."
